frame,time_sec,face_x,face_y,face_w,face_h,ear_right,ear_left,ear_avg,blink,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67
0,0.0000,208,157,200,193,0.311729,0.326243,0.318986,0,237.997,209.925,236.680,229.441,238.197,249.076,242.832,267.713,252.597,284.522,265.316,298.769,279.978,310.204,295.603,320.663,312.480,323.354,329.193,320.712,344.074,311.325,357.805,298.665,368.393,282.974,375.359,264.980,378.587,245.819,380.584,225.673,380.102,206.263,253.056,196.045,263.575,187.990,277.509,187.046,290.731,188.738,302.823,193.417,321.714,192.500,333.614,187.454,346.172,184.753,359.189,185.228,369.691,192.099,312.121,210.311,312.315,221.131,312.555,231.970,312.744,243.406,298.276,257.593,305.644,258.654,313.387,259.697,320.501,258.263,327.956,256.791,266.264,210.237,274.851,206.275,284.347,206.417,291.260,213.318,283.467,214.354,274.037,213.949,333.105,211.806,339.513,204.723,349.018,203.714,356.840,207.303,350.087,211.497,340.738,212.534,287.534,283.816,297.589,277.907,306.964,273.391,313.686,275.302,319.835,273.059,329.358,277.065,339.134,282.678,330.136,292.185,321.096,296.332,314.189,296.993,306.698,296.760,297.357,293.397,292.221,283.783,306.847,282.917,313.792,283.061,320.159,282.393,334.680,283.057,320.434,284.320,313.905,285.026,306.753,284.235
1,0.0335,204,163,204,186,0.319004,0.330682,0.324843,0,233.238,210.885,233.802,231.981,236.729,252.773,241.492,271.990,249.849,289.143,262.656,303.839,278.763,314.179,294.961,321.454,310.156,323.561,324.991,321.165,339.135,313.701,351.828,303.115,362.720,288.802,370.789,272.622,375.410,254.134,378.228,234.118,379.455,213.666,251.157,195.506,262.903,189.993,276.414,189.382,289.487,191.908,301.398,197.636,324.911,199.193,335.717,194.499,347.482,192.637,359.458,192.540,369.869,198.318,312.556,212.344,312.977,223.864,313.628,235.354,314.280,247.385,298.752,257.971,305.754,259.639,313.032,260.578,320.208,259.428,326.994,257.577,265.639,210.759,274.325,206.223,284.058,207.082,291.117,214.460,282.821,215.120,273.066,214.420,330.855,215.764,338.377,208.564,347.930,208.334,355.340,213.087,348.259,216.610,338.790,216.561,286.220,284.379,297.077,278.096,307.099,274.229,312.975,275.997,319.069,273.829,327.671,277.127,334.135,283.076,327.087,290.714,318.814,293.574,312.061,293.956,305.464,293.951,296.137,291.502,290.578,283.971,306.458,281.373,312.725,281.613,319.013,281.108,330.146,282.892,318.693,284.015,312.239,284.588,305.897,284.544
2,0.0669,204,171,204,175,0.335605,0.360264,0.347934,0,233.506,219.923,234.901,238.005,237.971,256.562,242.792,273.349,251.404,288.873,264.091,301.741,279.425,311.599,294.941,319.636,310.705,321.789,326.010,319.499,340.090,311.915,352.376,301.496,362.636,288.634,370.711,274.021,374.706,257.335,377.271,238.893,379.058,220.360,250.361,208.223,260.147,199.203,273.862,196.280,288.396,196.806,301.490,201.570,322.291,202.463,334.411,198.435,347.178,198.118,359.556,200.871,368.241,209.230,311.551,217.057,311.843,226.304,312.327,235.660,312.885,245.853,299.012,258.292,305.766,259.204,312.737,259.741,319.321,259.032,325.748,257.760,265.400,217.688,273.949,212.584,283.850,213.206,291.627,220.906,282.614,221.866,272.491,221.453,329.641,221.613,337.417,214.079,346.835,213.579,353.638,219.060,347.384,222.505,337.868,222.514,286.357,284.418,296.578,278.005,306.335,273.614,313.097,275.040,319.700,273.036,329.046,276.756,335.921,283.159,329.114,289.838,320.239,292.586,313.092,293.084,305.815,293.078,296.582,290.770,290.876,283.685,305.821,280.401,312.853,280.518,319.626,279.948,332.195,282.617,320.124,284.075,313.264,284.840,306.036,284.595
3,0.1004,205,158,204,192,0.300015,0.321856,0.310936,0,235.227,209.237,234.212,229.674,236.190,249.741,240.938,268.482,250.752,285.650,264.468,299.417,279.490,311.231,295.605,321.023,312.846,323.204,329.520,320.406,344.068,310.651,357.279,297.810,368.378,282.398,375.901,264.395,379.368,245.055,380.974,224.708,379.827,205.561,252.133,194.528,263.771,187.593,277.342,187.015,290.209,189.279,301.652,193.937,322.477,192.699,333.682,187.971,345.062,185.069,357.276,185.236,367.835,191.196,312.020,209.863,312.230,221.624,312.593,233.380,312.989,245.717,297.849,258.367,305.409,259.568,313.036,260.908,320.366,259.218,327.522,257.312,265.371,209.991,274.121,206.219,283.614,206.574,290.242,213.316,282.644,214.096,273.238,213.639,332.035,212.083,338.457,204.685,347.841,203.940,355.863,207.367,349.168,211.433,340.021,212.557,286.738,283.634,296.300,278.197,306.227,274.142,313.116,276.331,320.025,274.117,329.782,277.788,339.354,282.767,330.710,293.086,321.449,298.032,313.749,298.545,306.211,298.206,296.234,294.073,291.405,284.114,306.109,283.571,313.137,284.027,320.280,283.323,335.051,283.492,320.750,285.636,313.432,286.405,306.225,285.544
4,0.1339,203,168,204,179,0.323352,0.338935,0.331143,0,232.158,211.924,232.537,232.088,234.862,252.019,238.480,270.343,245.657,287.106,256.998,301.483,272.239,312.088,288.194,319.782,303.893,322.435,319.717,320.863,334.417,313.512,347.267,303.406,358.437,289.772,366.417,273.769,371.701,256.254,375.937,237.395,378.811,217.758,250.584,200.686,262.143,194.211,276.027,193.116,289.458,195.619,302.356,200.847,323.381,203.156,335.240,200.035,346.950,199.028,358.862,199.918,368.891,206.291,311.633,213.472,311.831,224.071,312.155,234.751,312.442,246.095,297.357,257.216,304.206,258.304,310.997,259.171,317.799,258.232,324.234,256.627,265.636,211.442,274.400,206.870,284.025,207.830,290.754,215.403,282.198,215.788,272.741,214.983,329.438,217.397,337.196,210.731,346.350,210.386,353.110,215.630,346.366,218.834,337.146,218.374,283.793,283.047,294.757,277.294,305.094,273.501,310.892,275.209,316.693,273.201,325.458,276.304,331.299,282.874,324.234,289.468,315.749,292.334,309.203,292.625,302.780,292.526,293.513,290.422,288.127,282.830,304.239,280.237,310.384,280.486,316.476,280.071,327.742,282.338,315.893,283.408,309.645,283.868,303.440,283.734
5,0.1674,203,176,203,170,0.259897,0.284551,0.272224,0,232.604,223.180,233.587,241.140,235.672,259.086,238.952,275.719,246.230,291.065,258.740,302.742,273.838,311.788,289.661,319.267,305.691,322.084,321.606,320.348,336.553,314.015,349.825,305.804,361.283,294.370,368.984,280.132,372.732,263.548,375.691,246.108,377.759,228.357,248.120,213.578,257.081,203.627,271.479,200.442,286.221,201.447,299.952,205.981,321.995,206.691,334.698,202.485,348.333,201.684,361.698,205.008,369.736,214.772,310.438,219.653,310.455,229.062,310.538,238.491,310.640,248.502,294.825,259.895,302.478,260.490,309.787,261.361,316.754,260.664,323.754,259.888,263.799,221.402,272.768,217.156,282.281,217.842,289.637,224.062,281.082,224.421,271.554,223.861,328.649,225.236,337.236,219.052,346.427,218.674,353.531,223.751,346.688,226.015,337.428,225.889,279.428,282.632,290.826,277.204,302.148,273.788,309.229,275.113,316.410,273.403,327.274,276.879,334.858,282.581,326.992,289.417,316.831,291.665,309.149,291.949,301.308,291.715,290.432,289.344,283.844,282.429,301.503,279.601,308.933,279.814,316.248,279.453,331.123,282.202,316.884,284.467,309.407,284.847,301.743,284.378
6,0.2008,207,158,203,193,0.310950,0.322049,0.316499,0,237.048,210.524,236.052,229.795,237.721,249.295,241.959,267.903,251.232,284.963,264.371,299.257,279.304,310.802,295.000,321.537,312.037,324.216,328.546,321.270,343.423,311.049,357.609,298.493,369.004,283.285,376.820,265.209,379.925,246.359,381.350,226.172,380.235,206.544,252.965,194.999,263.604,188.475,276.448,188.103,288.754,189.912,300.193,193.903,322.262,192.926,333.338,188.500,344.779,185.557,356.965,185.425,368.164,190.808,311.152,210.891,311.440,222.094,311.766,233.234,312.066,245.029,297.830,258.733,305.230,259.538,312.693,260.649,319.535,259.235,326.797,257.887,265.290,210.564,273.772,206.555,283.233,206.912,289.780,213.606,282.314,214.573,273.115,214.159,332.265,212.287,338.425,204.965,347.879,204.201,355.973,207.626,349.098,211.694,339.912,212.796,285.864,283.426,296.061,277.978,305.951,274.074,313.037,276.023,319.830,273.839,330.092,277.412,339.271,282.715,330.563,292.921,321.107,297.593,313.496,298.343,305.727,297.833,295.956,293.940,290.642,283.819,305.928,283.355,313.111,283.833,320.125,283.116,334.786,283.181,320.410,285.313,313.150,286.135,305.757,285.165
7,0.2343,204,165,204,183,0.313679,0.332739,0.323209,0,233.710,213.894,233.564,233.730,235.517,253.789,239.714,272.504,247.632,289.048,259.084,303.153,274.295,313.370,290.396,320.188,305.718,322.868,320.923,321.610,335.758,315.089,348.698,305.317,360.287,291.612,368.449,276.161,373.481,258.488,377.151,239.092,379.543,219.722,251.358,198.372,263.028,192.096,277.055,191.420,290.301,194.354,302.718,200.017,324.689,202.592,335.662,199.361,347.000,198.258,358.361,199.811,368.611,205.889,312.093,214.576,312.271,224.862,312.589,235.149,312.951,246.050,298.125,258.011,304.876,259.199,311.603,259.636,318.199,259.119,324.445,257.732,266.205,211.568,275.116,207.383,284.603,208.514,291.268,216.075,282.788,216.222,273.469,215.270,329.674,218.881,337.344,212.220,346.344,212.043,353.340,217.349,346.344,220.243,337.340,219.801,286.163,283.984,296.370,277.578,305.774,273.582,311.636,275.293,317.481,273.245,325.628,277.174,331.005,284.490,324.914,290.406,317.125,292.811,310.517,293.000,304.113,292.839,295.266,290.714,290.702,283.755,305.040,280.902,311.133,280.860,317.170,280.711,327.634,283.711,317.200,283.770,310.970,284.030,304.744,283.797
8,0.2678,203,172,203,176,0.263950,0.295543,0.279747,0,232.178,221.294,232.696,239.024,234.743,257.665,238.761,275.022,246.722,290.863,259.381,303.721,275.410,312.792,291.854,320.693,308.146,323.393,323.911,321.446,338.062,314.476,350.511,305.470,361.228,293.712,369.294,279.867,373.331,263.729,376.002,246.038,377.766,228.405,250.475,209.716,260.658,200.310,275.190,197.560,289.944,198.927,303.688,204.035,324.720,205.135,337.432,201.189,350.184,200.145,362.569,203.573,370.469,212.534,312.860,218.307,313.144,227.386,313.600,236.421,314.154,246.316,298.390,258.626,305.591,259.727,312.910,260.575,319.514,259.928,325.988,258.959,265.783,218.473,274.846,214.582,284.338,215.186,291.966,221.745,283.169,222.030,273.502,221.438,330.489,223.572,339.468,217.729,348.349,217.647,354.867,222.897,348.249,225.139,339.236,224.648,283.238,284.257,294.793,277.694,305.324,273.660,312.341,275.205,319.800,273.475,329.539,277.392,336.489,283.849,329.045,290.819,319.818,293.638,311.756,293.982,303.803,293.593,294.016,290.835,287.709,283.805,304.564,279.759,311.997,280.148,319.465,279.790,332.746,283.490,319.823,285.189,312.186,285.642,304.496,285.211
9,0.3013,209,156,199,193,0.290944,0.301827,0.296385,0,238.582,206.941,237.381,227.480,239.235,248.095,244.093,267.118,253.760,283.805,266.382,298.142,280.783,310.685,296.687,320.772,313.814,322.905,330.266,319.944,344.321,310.053,357.805,296.786,368.782,281.148,376.171,262.501,379.224,243.095,380.981,222.804,380.526,203.301,252.868,194.208,264.227,187.201,277.938,187.384,290.548,189.433,301.975,193.847,322.002,192.344,333.590,187.488,345.621,184.261,358.468,183.999,368.605,190.724,312.195,210.374,312.249,221.714,312.433,233.010,312.615,245.025,297.652,258.027,305.346,258.867,313.085,260.104,320.459,258.625,327.910,257.057,265.657,209.826,274.555,206.222,283.945,206.766,290.577,213.001,283.272,213.892,273.935,213.656,332.135,211.558,338.773,204.511,348.166,203.664,356.098,206.825,349.442,210.757,340.215,211.910,287.556,283.122,296.706,277.310,305.943,273.539,313.021,275.731,319.958,273.493,329.846,277.281,339.687,282.010,331.107,292.337,321.761,296.799,314.035,297.231,306.171,296.877,296.811,293.088,292.226,283.438,305.965,283.081,313.196,283.738,320.312,282.883,335.143,282.672,320.947,284.392,313.542,285.190,306.066,284.070
