video_id,frame_id,timestamp,blink_id,is_blink,is_closed,is_valid,nf,le_fc,le_nv,re_fc,re_nv,extra_fields_raw
3,0,0.158046,-1,0,0,1,X,X,X,X,X,261:235:126:117:286:252:309:254:343:255:366:255
3,1,0.230082,-1,0,0,1,X,X,X,X,X,260:235:128:117:285:252:309:254:343:255:366:255
3,2,0.241048,-1,0,0,1,X,X,X,X,X,261:236:125:115:285:252:308:254:342:256:365:256
3,3,0.286397,-1,0,0,1,X,X,X,X,X,261:236:125:115:285:252:308:255:341:256:364:255
3,4,0.321683,-1,0,0,1,X,X,X,X,X,260:236:125:115:284:253:307:255:341:256:364:255
3,5,0.350139,-1,0,0,1,X,X,X,X,X,259:235:127:116:284:252:308:254:341:255:364:255
3,6,0.382146,-1,0,0,1,X,X,X,X,X,260:235:125:116:285:252:308:254:341:255:364:255
3,7,0.415216,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:307:254:341:255:364:255
3,8,0.447357,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:308:254:341:255:364:255
3,9,0.478821,-1,0,0,1,X,X,X,X,X,260:236:125:115:284:253:307:255:341:256:364:255
3,10,0.510208,-1,0,0,1,X,X,X,X,X,259:236:126:115:284:253:307:255:341:256:364:255
3,11,0.54225,-1,0,0,1,X,X,X,X,X,260:235:126:116:285:253:307:255:341:256:364:255
3,12,0.574212,-1,0,0,1,X,X,X,X,X,259:235:126:116:284:252:307:254:341:256:364:255
3,13,0.606227,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:307:254:341:256:363:255
3,14,0.638261,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:308:254:341:256:364:255
3,15,0.670083,-1,0,0,1,X,X,X,X,X,260:235:126:117:284:253:307:255:341:256:364:256
3,16,0.718271,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:253:308:254:341:256:364:255
3,17,0.750303,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:308:254:341:255:364:255
3,18,0.782065,-1,0,0,1,X,X,X,X,X,260:235:125:115:284:252:308:254:341:255:364:255
3,19,0.814059,-1,0,0,1,X,X,X,X,X,260:235:126:116:284:252:308:254:341:255:364:255
3,20,0.846047,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:308:254:341:256:364:255
3,21,0.878578,-1,0,0,1,X,X,X,X,X,260:235:126:116:284:252:307:254:341:256:364:255
3,22,0.910351,-1,0,0,1,X,X,X,X,X,261:234:124:116:285:252:307:254:341:255:364:255
3,23,0.942067,-1,0,0,1,X,X,X,X,X,260:234:126:116:285:251:308:253:341:254:364:254
3,24,0.974203,-1,0,0,1,X,X,X,X,X,260:234:126:116:285:251:308:253:341:255:364:254
3,25,1.0062,-1,0,0,1,X,X,X,X,X,260:234:125:117:285:252:307:254:341:255:363:255
3,26,1.03826,-1,0,0,1,X,X,X,X,X,260:235:125:116:285:252:307:254:341:255:363:255
3,27,1.07008,-1,0,0,1,X,X,X,X,X,260:236:125:115:285:253:307:255:341:256:364:256
3,28,1.11815,-1,0,0,1,X,X,X,X,X,259:236:126:115:284:253:307:255:341:256:364:256
3,29,1.14996,-1,0,0,1,X,X,X,X,X,260:235:126:116:284:253:307:254:341:256:363:255
3,30,1.18197,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:252:307:254:341:256:363:255
3,31,1.21395,-1,0,0,1,X,X,X,X,X,260:236:125:115:284:253:307:254:340:255:363:255
3,32,1.24596,-1,0,0,1,X,X,X,X,X,260:236:125:116:284:253:307:255:341:256:363:256
3,33,1.27837,-1,0,0,1,X,X,X,X,X,260:236:125:116:284:254:307:255:340:256:363:257
3,34,1.31049,-1,0,0,1,X,X,X,X,X,260:236:125:116:284:254:307:256:340:257:363:257
3,35,1.34196,-1,0,0,1,X,X,X,X,X,260:236:125:116:284:254:307:255:340:257:363:256
3,36,1.37398,-1,0,0,1,X,X,X,X,X,260:236:126:115:284:254:307:255:340:257:363:256
3,37,1.40601,-1,0,0,1,X,X,X,X,X,261:236:125:115:284:253:307:255:340:257:363:256
3,38,1.43814,-1,0,0,1,X,X,X,X,X,261:236:124:115:284:253:307:255:340:256:363:256
3,39,1.46996,-1,0,0,1,X,X,X,X,X,260:235:125:116:284:253:307:255:340:256:362:256
3,40,1.51809,-1,0,0,1,X,X,X,X,X,260:236:125:115:284:253:307:255:340:257:363:256
3,41,1.55028,-1,0,0,1,X,X,X,X,X,260:237:124:115:284:255:306:256:339:257:362:257
3,42,1.58226,-1,0,0,1,X,X,X,X,X,260:238:124:115:284:255:307:257:339:258:362:258
3,43,1.61425,-1,0,0,1,X,X,X,X,X,260:237:124:115:284:255:306:256:339:258:362:257
3,44,1.65161,-1,0,0,1,X,X,X,X,X,261:236:124:115:284:253:307:255:340:256:362:256
3,45,1.67821,-1,0,0,1,X,X,X,X,X,261:234:124:116:285:251:307:253:340:254:362:254
3,46,1.71058,-1,0,0,1,X,X,X,X,X,260:234:124:116:284:252:307:253:340:254:362:254
3,47,1.75119,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:253:307:255:340:256:363:256
3,48,1.77454,-1,0,0,1,X,X,X,X,X,261:237:124:115:285:254:308:256:340:257:363:257
3,49,1.80635,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:254:307:255:340:257:362:257
3,50,1.8385,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:254:307:255:340:257:362:257
3,51,1.8704,-1,0,0,1,X,X,X,X,X,261:234:124:115:285:252:307:253:340:254:362:254
3,52,1.90244,-1,0,0,1,X,X,X,X,X,261:234:124:116:285:252:308:253:340:254:362:254
3,53,1.95049,-1,0,0,1,X,X,X,X,X,262:235:124:115:285:252:308:254:340:255:363:255
3,54,1.98249,-1,0,0,1,X,X,X,X,X,261:235:124:116:285:252:307:254:340:255:362:255
3,55,2.01434,-1,0,0,1,X,X,X,X,X,261:236:124:116:285:254:307:255:340:257:362:257
3,56,2.04612,-1,0,0,1,X,X,X,X,X,262:237:124:116:285:255:308:257:341:258:363:258
3,57,2.07868,-1,0,0,1,X,X,X,X,X,262:237:124:116:285:255:307:257:341:258:363:258
3,58,2.11063,-1,0,0,1,X,X,X,X,X,262:236:124:116:285:254:308:255:340:257:363:257
3,59,2.14211,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:253:307:255:340:256:362:256
3,60,2.17436,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:254:307:255:340:256:362:256
3,61,2.2064,-1,0,0,1,X,X,X,X,X,261:237:124:115:284:254:307:256:339:257:362:257
3,62,2.23852,-1,0,0,1,X,X,X,X,X,237:238:164:143:285:255:307:255:339:256:361:258
3,63,2.27036,-1,0,0,1,X,X,X,X,X,261:238:123:115:284:256:306:257:339:258:362:258
3,64,2.30249,-1,0,0,1,X,X,X,X,X,233:238:172:148:284:254:306:254:339:255:361:257
3,65,2.35046,-1,0,0,1,X,X,X,X,X,261:237:123:115:284:255:306:256:339:257:361:257
3,66,3.07909,-1,0,0,1,X,X,X,X,X,261:237:124:115:284:255:306:256:339:257:361:257
3,67,3.10232,-1,0,0,1,X,X,X,X,X,261:238:125:115:285:257:307:258:340:259:362:259
3,68,3.13431,-1,0,0,1,X,X,X,X,X,261:238:123:115:285:256:307:258:340:259:362:259
3,69,3.18226,-1,0,0,1,X,X,X,X,X,261:238:124:115:285:256:307:257:340:258:362:259
3,70,3.21426,-1,0,0,1,X,X,X,X,X,261:237:124:115:285:256:307:257:340:258:362:258
3,71,3.24626,-1,0,0,1,X,X,X,X,X,261:237:124:115:285:255:307:256:340:257:362:258
3,72,3.27834,-1,0,0,1,X,X,X,X,X,261:236:124:115:285:254:307:255:340:256:362:257
