video_id,frame_id,ear_l,ear_r,ear_avg,det_ok,face_count,face_x,face_y,face_w,face_h
B,0,0.19034661,0.19936306,0.19485483,1,1,234,154,180,180
B,1,0.22543089,0.19961286,0.21252187,1,1,214,134,180,180
B,2,0.20230968,0.18336097,0.19283532,1,1,214,134,180,180
B,3,0.19955703,0.18309240,0.19132471,1,1,214,134,180,180
B,4,0.21736862,0.20098014,0.20917438,1,1,214,134,180,180
B,5,0.22360680,0.20863703,0.21612191,1,1,214,134,180,180
B,6,0.23281653,0.19328091,0.21304872,1,1,214,134,180,180
B,7,0.20640627,0.20863703,0.20752165,1,1,214,134,180,180
B,8,0.20782984,0.20175250,0.20479117,1,1,214,134,180,180
B,9,0.23217534,0.20945165,0.22081350,1,1,214,134,180,180
B,10,0.25097036,0.21730740,0.23413888,1,1,214,134,180,180
B,11,0.23217534,0.20175250,0.21696392,1,1,214,134,180,180
B,12,0.24009801,0.23363466,0.23686634,1,1,214,134,180,180
B,13,0.23281653,0.20037997,0.21659825,1,1,214,134,180,180
B,14,0.24081049,0.21814250,0.22947650,1,1,214,134,180,180
B,15,0.24979177,0.23363466,0.24171322,1,1,214,134,180,180
B,16,0.22648185,0.22589738,0.22618961,1,1,214,134,180,180
B,17,0.24883551,0.25304857,0.25094204,1,1,214,134,180,180
B,18,0.29851115,0.28084791,0.28967953,1,1,214,134,180,180
B,19,0.25886350,0.21676997,0.23781673,1,1,214,134,180,180
B,20,0.26740820,0.23335392,0.25038106,1,1,214,134,180,180
B,21,0.25000958,0.25000958,0.25000958,1,1,214,134,180,180
B,22,0.22589738,0.23335392,0.22962565,1,1,214,134,180,180
B,23,0.22648185,0.20093335,0.21370760,1,1,214,134,180,180
B,24,0.26532697,0.25886350,0.26209523,1,1,214,134,180,180
B,25,0.26637572,0.25953438,0.26295505,1,1,214,134,180,180
B,26,0.26814670,0.24325213,0.25569941,1,1,214,134,180,180
B,27,0.25786401,0.24180997,0.24983699,1,1,214,134,180,180
B,28,0.24987710,0.24180997,0.24584354,1,1,214,134,180,180
B,29,0.26637572,0.22416696,0.24527134,1,1,214,134,180,180
B,30,0.26637572,0.27546544,0.27092058,1,1,214,134,180,180
B,31,0.27627923,0.25110098,0.26369011,1,1,214,134,180,180
B,32,0.26740820,0.24154307,0.25447564,1,1,214,134,180,180
B,33,0.24295090,0.25000958,0.24648024,1,1,214,134,180,180
B,34,0.23335178,0.23453251,0.23394214,1,1,214,134,180,180
B,35,0.22589738,0.23453251,0.23021494,1,1,214,134,180,180
B,36,0.25084563,0.25594267,0.25339415,1,1,214,134,180,180
B,37,0.26740820,0.24253562,0.25497191,1,1,214,134,180,180
B,38,0.28279143,0.27546544,0.27912844,1,1,214,134,180,180
B,39,0.29236377,0.27546544,0.28391461,1,1,214,134,180,180
B,40,0.27433813,0.24131681,0.25782747,1,1,214,154,180,180
B,41,0.26638450,0.24253562,0.25446006,1,1,214,154,180,180
B,42,0.29236377,0.27968792,0.28602585,1,1,214,154,180,180
B,43,0.29516755,0.24253562,0.26885159,1,1,214,154,180,180
B,44,0.30932607,0.25786401,0.28359504,1,1,214,134,180,180
B,45,0.30932607,0.28176290,0.29554449,1,1,214,134,180,180
B,46,0.32631163,0.29261530,0.30946347,1,1,214,154,180,180
B,47,0.31807553,0.28192720,0.30000136,1,1,214,134,180,180
B,48,0.30932607,0.26534324,0.28733466,1,1,214,134,180,180
B,49,0.30838011,0.25686452,0.28262231,1,1,214,134,180,180
B,50,0.30932607,0.28192720,0.29562664,1,1,214,134,180,180
B,51,0.31212985,0.26740820,0.28976903,1,1,214,134,180,180
B,52,0.31807553,0.30671648,0.31239601,1,1,214,134,180,180
B,53,0.32712901,0.30034817,0.31373859,1,1,214,134,180,180
B,54,0.31212985,0.29851115,0.30532050,1,1,214,134,180,180
B,55,0.31652435,0.29075091,0.30363763,1,1,214,134,180,180
B,56,0.30932607,0.24081049,0.27506828,1,1,214,134,180,180
B,57,0.31408855,0.26740820,0.29074838,1,1,214,134,180,180
B,58,0.29236377,0.27546544,0.28391461,1,1,214,154,180,180
B,59,0.28411108,0.30034817,0.29222963,1,1,214,154,180,180
B,60,0.29362978,0.28387819,0.28875398,1,1,214,154,180,180
B,61,0.29236377,0.30393267,0.29814822,1,1,214,154,180,180
B,62,0.30191035,0.26814670,0.28502852,1,1,214,134,180,180
B,63,0.28279143,0.26814670,0.27546907,1,1,214,134,180,180
B,64,0.29084061,0.26711137,0.27897599,1,1,214,134,180,180
B,65,0.26638450,0.24993788,0.25816119,1,1,214,134,180,180
B,66,0.27540147,0.23399837,0.25469992,1,1,214,154,180,180
B,67,0.26025117,0.24202972,0.25114044,1,1,214,154,180,180
B,68,0.27540147,0.27546544,0.27543346,1,1,214,154,180,180
B,69,0.26406189,0.25786401,0.26096295,1,1,214,154,180,180
B,70,0.26406189,0.25831558,0.26118874,1,1,214,154,180,180
B,71,0.26708606,0.26740820,0.26724713,1,1,214,154,180,180
B,72,0.24253562,0.24131681,0.24192622,1,1,214,154,180,180
B,73,0.23246059,0.21756310,0.22501185,1,1,214,154,180,180
B,74,0.23453251,0.23335392,0.23394322,1,1,214,154,180,180
B,75,0.25712567,0.24253562,0.24983065,1,1,214,154,180,180
B,76,0.25000958,0.24131681,0.24566320,1,1,214,154,180,180
B,77,0.25847227,0.23399837,0.24623532,1,1,214,154,180,180
B,78,0.24032926,0.24131681,0.24082304,1,1,214,154,180,180
B,79,0.25712567,0.23399837,0.24556202,1,1,214,154,180,180
B,80,0.25000958,0.24080732,0.24540845,1,1,214,154,180,180
B,81,0.20909025,0.19397706,0.20153366,1,1,214,154,180,180
B,82,0.14448629,0.15594572,0.15021600,1,1,214,154,180,180
B,83,0.19264839,0.19447895,0.19356367,1,1,214,154,180,180
B,84,0.14752096,0.12876456,0.13814276,1,1,214,154,180,180
B,85,0.23453251,0.22762573,0.23107912,1,1,214,154,180,180
B,86,0.23907718,0.20175250,0.22041484,1,1,214,154,180,180
B,87,0.23249528,0.21696392,0.22472960,1,1,214,154,180,180
B,88,0.24762199,0.22703830,0.23733015,1,1,214,154,180,180
