config_id,feature_pair_name,feature_names,dataset_rule_name,central_size,min_closed_in_central,open_step,eyeblink8_policy,C,class_weight
1,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,balanced
2,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:2"
3,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:3"
4,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:5"
5,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,balanced
6,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:2"
7,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:3"
8,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:5"
9,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,balanced
10,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:2"
11,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:3"
12,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:5"
13,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,1.0,balanced
14,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:2"
15,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:3"
16,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:5"
17,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,3.0,balanced
18,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:2"
19,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:3"
20,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:5"
21,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.03,balanced
22,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:2"
23,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:3"
24,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:5"
25,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.1,balanced
26,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:2"
27,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:3"
28,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:5"
29,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.3,balanced
30,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:2"
31,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:3"
32,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:5"
33,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,1.0,balanced
34,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:2"
35,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:3"
36,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:5"
37,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,3.0,balanced
38,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:2"
39,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:3"
40,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,loose_5_4_openstep3_blinkasnonclosed,5,4,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:5"
41,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.03,balanced
42,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:2"
43,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:3"
44,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:5"
45,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.1,balanced
46,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:2"
47,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:3"
48,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:5"
49,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.3,balanced
50,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:2"
51,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:3"
52,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:5"
53,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,1.0,balanced
54,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:2"
55,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:3"
56,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,1.0,"non_closed:1,closed:5"
57,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,3.0,balanced
58,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:2"
59,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:3"
60,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,strict_9_8_openstep3_blinkasnonclosed,9,8,3,open_blink_as_nonclosed,3.0,"non_closed:1,closed:5"
61,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.03,balanced
62,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.03,"non_closed:1,closed:2"
63,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.03,"non_closed:1,closed:3"
64,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.03,"non_closed:1,closed:5"
65,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.1,balanced
66,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.1,"non_closed:1,closed:2"
67,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.1,"non_closed:1,closed:3"
68,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep5_blinkasnonclosed,7,6,5,open_blink_as_nonclosed,0.1,"non_closed:1,closed:5"
