config_id,feature_pair_name,feature_names,dataset_rule_name,central_size,min_closed_in_central,open_step,eyeblink8_policy,C,class_weight,input_dim,train_samples,val_samples,test_samples,train_closed,val_closed,test_closed,best_threshold,val_threshold_selected_by,train_tuned_accuracy,train_tuned_macro_f1,train_tuned_nonclosed_precision,train_tuned_nonclosed_recall,train_tuned_nonclosed_f1,train_tuned_closed_precision,train_tuned_closed_recall,train_tuned_closed_f1,train_tuned_false_closed_rate,train_tuned_missed_closed_rate,train_tuned_tn,train_tuned_fp,train_tuned_fn,train_tuned_tp,train_tuned_threshold,train_tuned_project_score,val_tuned_accuracy,val_tuned_macro_f1,val_tuned_nonclosed_precision,val_tuned_nonclosed_recall,val_tuned_nonclosed_f1,val_tuned_closed_precision,val_tuned_closed_recall,val_tuned_closed_f1,val_tuned_false_closed_rate,val_tuned_missed_closed_rate,val_tuned_tn,val_tuned_fp,val_tuned_fn,val_tuned_tp,val_tuned_threshold,val_tuned_project_score,test_tuned_accuracy,test_tuned_macro_f1,test_tuned_nonclosed_precision,test_tuned_nonclosed_recall,test_tuned_nonclosed_f1,test_tuned_closed_precision,test_tuned_closed_recall,test_tuned_closed_f1,test_tuned_false_closed_rate,test_tuned_missed_closed_rate,test_tuned_tn,test_tuned_fp,test_tuned_fn,test_tuned_tp,test_tuned_threshold,test_tuned_project_score,train_zero_accuracy,train_zero_macro_f1,train_zero_nonclosed_precision,train_zero_nonclosed_recall,train_zero_nonclosed_f1,train_zero_closed_precision,train_zero_closed_recall,train_zero_closed_f1,train_zero_false_closed_rate,train_zero_missed_closed_rate,train_zero_tn,train_zero_fp,train_zero_fn,train_zero_tp,train_zero_threshold,train_zero_project_score,val_zero_accuracy,val_zero_macro_f1,val_zero_nonclosed_precision,val_zero_nonclosed_recall,val_zero_nonclosed_f1,val_zero_closed_precision,val_zero_closed_recall,val_zero_closed_f1,val_zero_false_closed_rate,val_zero_missed_closed_rate,val_zero_tn,val_zero_fp,val_zero_fn,val_zero_tp,val_zero_threshold,val_zero_project_score,test_zero_accuracy,test_zero_macro_f1,test_zero_nonclosed_precision,test_zero_nonclosed_recall,test_zero_nonclosed_f1,test_zero_closed_precision,test_zero_closed_recall,test_zero_closed_f1,test_zero_false_closed_rate,test_zero_missed_closed_rate,test_zero_tn,test_zero_fp,test_zero_fn,test_zero_tp,test_zero_threshold,test_zero_project_score,rank_score,status,dataset_cache_dir
1,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,balanced,30,24168,4012,2376,2292,370,367,2.0531284306238593,max_closed_recall_under_false_closed_constraint,0.9464995034756704,0.7916648941075696,0.9449993514074458,0.9990400438837082,0.971268582094527,0.9798270893371758,0.44502617801047123,0.6120612061206121,0.0009599561162918266,0.5549738219895288,21855,21,1272,1020,2.0531284306238593,0.6502119486210596,0.9970089730807578,0.9911961940874938,1.0,0.9967051070840197,0.9983498349834983,0.9685863874345549,1.0,0.9840425531914894,0.0032948929159802307,0.0,3630,12,0,370,2.0531284306238593,0.9951866432130262,0.8775252525252525,0.6392514928663293,0.8738033072236727,0.9995022399203584,0.9324355700023217,0.9871794871794872,0.2098092643051771,0.34606741573033706,0.0004977600796416127,0.7901907356948229,2008,1,290,77,2.0531284306238593,0.47407502785421785,0.9793942403177756,0.9447472372617847,0.9987867475501633,0.9784238434814408,0.9885004387382811,0.8276113951789628,0.9886561954624782,0.9009940357852882,0.021576156518559153,0.011343804537521814,21404,472,26,2266,0.0,0.9646786094745535,0.9299601196410767,0.8423269836923115,1.0,0.9228445908841296,0.9598743395687562,0.5683563748079877,1.0,0.7247796278158668,0.0771554091158704,0.0,3361,281,0,370,0.0,0.9117512590876682,0.8341750841750841,0.6683840032646398,0.8944797264289204,0.9113987058237929,0.9028599605522681,0.45896656534954405,0.4114441416893733,0.4339080459770115,0.08860129417620707,0.5885558583106267,1831,178,216,151,0.0,0.5661926124744563,0.9951866432130262,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
2,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:2",30,24168,4012,2376,2292,370,367,0.8266952343909643,max_closed_recall_under_false_closed_constraint,0.9736014564713671,0.9139927981276702,0.9738086739246832,0.9976686780032913,0.9855942919075145,0.9709567198177677,0.743891797556719,0.8423913043478259,0.002331321996708722,0.256108202443281,21825,51,587,1705,0.8266952343909643,0.8434422997788897,0.9920239282153539,0.9770683234783901,1.0,0.9912136188907194,0.9955874241588528,0.9203980099502488,1.0,0.9585492227979275,0.008786381109280615,0.0,3610,32,0,370,0.8266952343909643,0.9874387718935109,0.8930976430976431,0.7363635092820398,0.8990450204638472,0.9840716774514684,0.939638783269962,0.8192090395480226,0.39509536784741145,0.5330882352941176,0.015928322548531607,0.6049046321525886,1977,32,222,145,0.8266952343909643,0.6018431881721544,0.9868007282356835,0.9626283600172966,0.9960421556445304,0.9893490583287621,0.9926843251920652,0.9044690446904469,0.962478184991274,0.932572394842528,0.010650941671237887,0.037521815008726006,21643,233,86,2206,0.0,0.9633965261416644,0.9715852442671984,0.9253054785258641,1.0,0.9686985172981878,0.9841004184100419,0.7644628099173554,1.0,0.8665105386416861,0.03130148270181219,0.0,3528,114,0,370,0.0,0.9587773799610633,0.8547979797979798,0.6913629286861313,0.8969465648854962,0.9357889497262319,0.9159561510353228,0.5392857142857143,0.4114441416893733,0.4667697063369397,0.06421105027376804,0.5885558583106267,1880,129,216,151,0.0,0.5805956953932315,0.9874387718935109,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
3,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:3",30,24168,4012,2376,2292,370,367,0.961812604409338,max_closed_recall_under_false_closed_constraint,0.9731463091691492,0.9123327787496296,0.9733731769323403,0.9976229658072774,0.9853488949590266,0.9702346880366343,0.7395287958115183,0.8393166625402327,0.0023770341927226183,0.2604712041884817,21824,52,597,1695,0.961812604409338,0.8406766064075994,0.9920239282153539,0.9770683234783901,1.0,0.9912136188907194,0.9955874241588528,0.9203980099502488,1.0,0.9585492227979275,0.008786381109280615,0.0,3610,32,0,370,0.961812604409338,0.9874387718935109,0.8930976430976431,0.7363635092820398,0.8990450204638472,0.9840716774514684,0.939638783269962,0.8192090395480226,0.39509536784741145,0.5330882352941176,0.015928322548531607,0.6049046321525886,1977,32,222,145,0.961812604409338,0.6018431881721544,0.9857663025488249,0.9603627835271349,0.9975046210720887,0.9867434631559701,0.992094861660079,0.8852848101265823,0.9764397905759162,0.9286307053941909,0.013256536844029988,0.02356020942408377,21586,290,54,2238,0.0,0.9681137609049121,0.9593718843469591,0.898300271699618,1.0,0.9552443712246018,0.9771099564667884,0.6941838649155723,1.0,0.8194905869324475,0.04475562877539813,0.0,3479,163,0,370,0.0,0.9436325166247111,0.8484848484848485,0.6840868967860599,0.8962037481979818,0.9283225485316078,0.9119804400977995,0.511864406779661,0.4114441416893733,0.4561933534743203,0.07167745146839223,0.5885558583106267,1865,144,216,151,0.0,0.5760607558448996,0.9874387718935109,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
4,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.03,"non_closed:1,closed:5",30,24168,4012,2376,2292,370,367,1.8631240264976725,max_closed_recall_under_false_closed_constraint,0.9434789804700431,0.7752106702382945,0.94198775967589,0.999085756079722,0.9696969696969696,0.979296066252588,0.41273996509598604,0.5807243707796194,0.0009142439202779302,0.587260034904014,21856,20,1346,946,1.8631240264976725,0.62770092517374,0.9970089730807578,0.9911961940874938,1.0,0.9967051070840197,0.9983498349834983,0.9685863874345549,1.0,0.9840425531914894,0.0032948929159802307,0.0,3630,12,0,370,1.8631240264976725,0.9951866432130262,0.8775252525252525,0.6392514928663293,0.8738033072236727,0.9995022399203584,0.9324355700023217,0.9871794871794872,0.2098092643051771,0.34606741573033706,0.0004977600796416127,0.7901907356948229,2008,1,290,77,1.8631240264976725,0.47407502785421785,0.9834078119827872,0.9545397076728529,0.9982367407544893,0.9834064728469556,0.9907661132475187,0.8612915552158961,0.9834205933682374,0.9183133020981871,0.01659352715304443,0.016579406631762654,21513,363,38,2254,0.0,0.9678754984343967,0.9494017946161516,0.8780306596162,1.0,0.9442613948380011,0.9713317328061009,0.6457242582897034,1.0,0.7847295864262991,0.055738605161998904,0.0,3439,203,0,370,0.0,0.9321678488547851,0.8425925925925926,0.6774944689944313,0.895500725689405,0.9213539074166252,0.9082433758586851,0.4886731391585761,0.4114441416893733,0.4467455621301776,0.07864609258337481,0.5885558583106267,1851,158,216,151,0.0,0.5719313733619559,0.9951866432130262,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
5,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,balanced,30,24168,4012,2376,2292,370,367,2.139007892046958,max_closed_recall_under_false_closed_constraint,0.9460857332009268,0.7894686243681808,0.9445909149846566,0.9990400438837082,0.9710528069668761,0.979631425800194,0.4406631762652705,0.6078844417694854,0.0009599561162918266,0.5593368237347295,21855,21,1282,1010,2.139007892046958,0.6471828292351723,0.9970089730807578,0.9911961940874938,1.0,0.9967051070840197,0.9983498349834983,0.9685863874345549,1.0,0.9840425531914894,0.0032948929159802307,0.0,3630,12,0,370,2.139007892046958,0.9951866432130262,0.8775252525252525,0.6392514928663293,0.8738033072236727,0.9995022399203584,0.9324355700023217,0.9871794871794872,0.2098092643051771,0.34606741573033706,0.0004977600796416127,0.7901907356948229,2008,1,290,77,2.139007892046958,0.47407502785421785,0.9798493876199934,0.9458248324668892,0.9986943343436698,0.9790181020296215,0.9887583389118442,0.8314359162688212,0.987783595113438,0.9028913260219343,0.020981897970378496,0.012216404886561954,21417,459,28,2264,0.0,0.9649049036036395,0.9332003988035892,0.8479642902390907,1.0,0.9264140582097748,0.9618015963511972,0.5799373040752351,1.0,0.7341269841269842,0.07358594179022515,0.0,3374,268,0,370,0.0,0.9149947173088209,0.8358585858585859,0.6701785358353027,0.894685519258898,0.9133897461423593,0.9039408866995072,0.4646153846153846,0.4114441416893733,0.43641618497109824,0.08661025385764062,0.5885558583106267,1835,174,216,151,0.0,0.5673259479014151,0.9951866432130262,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
6,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:2",30,24168,4012,2376,2292,370,367,0.8492143298929534,max_closed_recall_under_false_closed_constraint,0.9737669645812644,0.914646959154704,0.9740248147817548,0.9976229658072774,0.9856826701594327,0.9704880817253121,0.7460732984293194,0.8436112481499753,0.0023770341927226183,0.25392670157068065,21824,52,582,1710,0.8492143298929534,0.8447286565080863,0.9920239282153539,0.9770683234783901,1.0,0.9912136188907194,0.9955874241588528,0.9203980099502488,1.0,0.9585492227979275,0.008786381109280615,0.0,3610,32,0,370,0.8492143298929534,0.9874387718935109,0.8926767676767676,0.7357484140674238,0.8989990900818926,0.9835739173718268,0.9393867363917281,0.8146067415730337,0.39509536784741145,0.5321100917431193,0.01642608262817322,0.6049046321525886,1976,33,222,145,0.8492143298929534,0.6014738955806532,0.9867593512082092,0.962461682935264,0.9958594037541406,0.9894861949168038,0.9926625699348802,0.9054276315789473,0.9607329842931938,0.9322607959356478,0.010513805083196198,0.03926701570680628,21646,230,90,2202,0.0,0.962558537892698,0.9713359920239282,0.9247278935703511,1.0,0.9684239428885227,0.9839587111173106,0.7628865979381443,1.0,0.8654970760233918,0.03157605711147721,0.0,3527,115,0,370,0.0,0.9584549286952836,0.8552188552188552,0.69185621283661,0.8969957081545065,0.9362867098058736,0.9162201656113006,0.5412186379928315,0.4114441416893733,0.46749226006191946,0.06371329019412643,0.5885558583106267,1881,128,216,151,0.0,0.5809022872980026,0.9874387718935109,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
7,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:3",30,24168,4012,2376,2292,370,367,0.9748785521855937,max_closed_recall_under_false_closed_constraint,0.9738083416087389,0.9148769485711474,0.9741529396009107,0.9975315414152496,0.98570363845789,0.969439728353141,0.7473821989528796,0.844050258684405,0.0024684585847504115,0.2526178010471204,21822,54,579,1713,0.9748785521855937,0.845411226328736,0.9920239282153539,0.9770683234783901,1.0,0.9912136188907194,0.9955874241588528,0.9203980099502488,1.0,0.9585492227979275,0.008786381109280615,0.0,3610,32,0,370,0.9748785521855937,0.9874387718935109,0.8935185185185185,0.7386553397952729,0.8998178506375227,0.9835739173718268,0.9398335315101071,0.8166666666666667,0.40054495912806537,0.5374771480804387,0.01642608262817322,0.5994550408719346,1976,33,220,147,0.9748785521855937,0.6053126552531152,0.986138695796094,0.9613212877198098,0.9974597016304096,0.987200585116109,0.992303627633423,0.88875645609853,0.9760034904013961,0.9303389478061966,0.012799414883891021,0.02399650959860384,21596,280,55,2237,0.0,0.9684567874187415,0.96061814556331,0.9009405627124112,1.0,0.956617243272927,0.9778276733090092,0.7007575757575758,1.0,0.824053452115813,0.043382756727073035,0.0,3484,158,0,370,0.0,0.9451195790144395,0.8484848484848485,0.6840868967860599,0.8962037481979818,0.9283225485316078,0.9119804400977995,0.511864406779661,0.4114441416893733,0.4561933534743203,0.07167745146839223,0.5885558583106267,1865,144,216,151,0.0,0.5760607558448996,0.9874387718935109,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
8,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.1,"non_closed:1,closed:5",30,24168,4012,2376,2292,370,367,1.9186632684102807,max_closed_recall_under_false_closed_constraint,0.9434789804700431,0.7750825722875412,0.9419496638510602,0.999131468275736,0.969698314108252,0.9802904564315352,0.412303664921466,0.5804668304668305,0.0008685317242640337,0.587696335078534,21857,19,1347,945,1.9186632684102807,0.6274494818973396,0.9970089730807578,0.9911961940874938,1.0,0.9967051070840197,0.9983498349834983,0.9685863874345549,1.0,0.9840425531914894,0.0032948929159802307,0.0,3630,12,0,370,1.9186632684102807,0.9951866432130262,0.8775252525252525,0.6392514928663293,0.8738033072236727,0.9995022399203584,0.9324355700023217,0.9871794871794872,0.2098092643051771,0.34606741573033706,0.0004977600796416127,0.7901907356948229,2008,1,290,77,1.9186632684102807,0.47407502785421785,0.9836146971201589,0.9550496824371861,0.9981909268021152,0.9836807460230389,0.9908827186075424,0.8632183908045977,0.9829842931937173,0.9192166462668299,0.016319253976961053,0.017015706806282723,21519,357,39,2253,0.0,0.9679715145692422,0.9508973080757727,0.8809785801380885,1.0,0.9459088412959912,0.9722026245237758,0.6525573192239859,1.0,0.7897545357524013,0.05409115870400879,0.0,3445,197,0,370,0.0,0.9338406646496762,0.8434343434343434,0.6784250148804543,0.8956017399710005,0.9223494275759084,0.9087788131436979,0.49185667752442996,0.4114441416893733,0.4480712166172107,0.07765057242409158,0.5885558583106267,1853,156,216,151,0.0,0.5725154347440722,0.9951866432130262,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
9,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,balanced,30,24168,4012,2376,2292,370,367,2.1687078331183756,max_closed_recall_under_false_closed_constraint,0.9459202250910295,0.7885866062596834,0.944427639255002,0.9990400438837082,0.9709665237576915,0.9795520934761441,0.4389179755671902,0.6062066887616752,0.0009599561162918266,0.5610820244328097,21855,21,1286,1006,2.1687078331183756,0.6459694223481652,0.9970089730807578,0.9911961940874938,1.0,0.9967051070840197,0.9983498349834983,0.9685863874345549,1.0,0.9840425531914894,0.0032948929159802307,0.0,3630,12,0,370,2.1687078331183756,0.9951866432130262,0.8775252525252525,0.6392514928663293,0.8738033072236727,0.9995022399203584,0.9324355700023217,0.9871794871794872,0.2098092643051771,0.34606741573033706,0.0004977600796416127,0.7901907356948229,2008,1,290,77,2.1687078331183756,0.47407502785421785,0.9799735187024164,0.9461110461530892,0.9986480186480187,0.9792009508136771,0.9888288787333241,0.8325974981604121,0.9873472949389179,0.9033932135728542,0.020799049186322912,0.012652705061082025,21421,455,29,2263,0.0,0.9648776641517944,0.9334496510468594,0.8484027795172995,1.0,0.9266886326194399,0.9619495510902095,0.5808477237048666,1.0,0.7348560079443893,0.07331136738056013,0.0,3375,267,0,370,0.0,0.9152466836190063,0.8362794612794613,0.6706292711974516,0.8947368421052632,0.913887506222001,0.9042107855208077,0.4660493827160494,0.4114441416893733,0.4370477568740955,0.08611249377799901,0.5885558583106267,1836,173,216,151,0.0,0.5676103827752228,0.9951866432130262,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
10,col_run_topk_fixed+col_run_topk_adapt,col_run_topk_fixed+col_run_topk_adapt,std_7_6_openstep3_blinkasnonclosed,7,6,3,open_blink_as_nonclosed,0.3,"non_closed:1,closed:2",30,24168,4012,2376,2292,370,367,0.8546832348906246,max_closed_recall_under_false_closed_constraint,0.9737669645812644,0.9146851932030169,0.9740671308694876,0.9975772536112635,0.9856820234869015,0.969954648526077,0.7465095986038395,0.8436883629191322,0.0024227463887365147,0.2534904013961606,21823,53,581,1711,0.8546832348906246,0.8449350631724537,0.9920239282153539,0.9770683234783901,1.0,0.9912136188907194,0.9955874241588528,0.9203980099502488,1.0,0.9585492227979275,0.008786381109280615,0.0,3610,32,0,370,0.8546832348906246,0.9874387718935109,0.8930976430976431,0.7372043078177172,0.8994082840236687,0.9835739173718268,0.9396100808368996,0.8156424581005587,0.3978201634877384,0.5347985347985348,0.01642608262817322,0.6021798365122616,1976,33,221,146,0.8546832348906246,0.6033944988271713,0.9867593512082092,0.9624333163385851,0.9957681692732291,0.9895776193088316,0.9926632428466617,0.9060955518945635,0.9598603839441536,0.9322033898305084,0.010422380691168404,0.04013961605584642,21648,228,92,2200,0.0,0.9621698683789287,0.9710867397806581,0.9241514727970628,1.0,0.9681493684788578,0.9838169642857143,0.7613168724279835,1.0,0.8644859813084111,0.03185063152114223,0.0,3526,116,0,370,0.0,0.9581330654514457,0.8552188552188552,0.69185621283661,0.8969957081545065,0.9362867098058736,0.9162201656113006,0.5412186379928315,0.4114441416893733,0.46749226006191946,0.06371329019412643,0.5885558583106267,1881,128,216,151,0.0,0.5809022872980026,0.9874387718935109,ok,work_autotune_binary_30d\dataset_cache\ds_5f87951126dc_col_run_topk_fixed_col_run_topk_adapt_std_7_6_openstep3_blinkasnonclosed
