feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
avg_diff8,linear,0.001,8,15,120,120,1959,5,0.8342095405612288,0.8361586161352783,0.824000914245852,0.8453292496171516,0.17192268565615462,0.13729508196721313,814,169,134,842,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr20_rich,linear,0.001,20,15,300,300,1959,5,0.8315336883764107,0.8339143177849838,0.8274336541789676,0.8371618172537009,0.08748728382502544,0.2387295081967213,897,86,233,743,0.0,0.0,0,"300 MACs/window, simple HLS update"
avg_diff8,linear,0.0003,8,15,120,120,1959,5,0.8311525870914155,0.8328849342576327,0.8161601321319161,0.8422664624808576,0.19735503560528994,0.11782786885245902,789,194,115,861,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr20_rich,linear,0.0003,20,15,300,300,1959,5,0.8269360433869155,0.8294930157146421,0.822040975408372,0.8335885655946912,0.11291963377416073,0.22028688524590165,872,111,215,761,0.0,0.0,0,"300 MACs/window, simple HLS update"
avg_diff8,linear,0.003,8,15,120,120,1959,5,0.8272422273252878,0.8293676458184912,0.8194737333865595,0.8392036753445635,0.15768056968463887,0.16393442622950818,828,155,160,816,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg_abslight14,linear,0.0003,14,15,210,210,1959,5,0.8280532890343807,0.8293464704415066,0.8027313180240917,0.8249106687085248,0.28687690742624616,0.0625,701,282,61,915,0.0,0.0,0,"210 MACs/window, simple HLS update"
lr20_rich,linear,0.003,20,15,300,300,1959,5,0.8266998908812561,0.8289629583437266,0.8229837677976594,0.8310362429811128,0.09460834181078331,0.24385245901639344,890,93,238,738,0.0,0.0,0,"300 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.01,8,15,120,7380,1959,5,0.8265077116007882,0.8287883287782346,0.8220149279104436,0.8381827462991323,0.09562563580874874,0.22848360655737704,889,94,223,753,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg12_contrast,linear,0.0003,12,15,180,180,1959,5,0.8262471295255779,0.8287444751108566,0.8165580629277981,0.8376722817764165,0.12614445574771108,0.1987704918032787,859,124,194,782,0.0,0.0,0,"180 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.003,8,15,120,7380,1959,5,0.8244686568622661,0.8271607408510707,0.817114258269358,0.8392036753445635,0.09155645981688708,0.2305327868852459,893,90,225,751,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
lr12_shape,linear,0.001,12,15,180,180,1959,5,0.8213204996661293,0.8236717385881767,0.8163168814850879,0.8259315977539561,0.07833163784333673,0.27049180327868855,906,77,264,712,0.0,0.0,0,"180 MACs/window, simple HLS update"
lr12_shape,linear,0.003,12,15,180,180,1959,5,0.8202309408641554,0.822405836867049,0.8155697997218991,0.8233792751403778,0.08138351983723296,0.2725409836065574,903,80,266,710,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_diff8,linear,0.01,8,15,120,120,1959,5,0.8190192342144265,0.8212328241672064,0.8124949731455402,0.8310362429811128,0.1525940996948118,0.18545081967213115,833,150,181,795,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg_diff8,linear,0.03,8,15,120,120,1959,5,0.8161756323186917,0.8183892222714718,0.8103094845195511,0.8279734558448187,0.150559511698881,0.19364754098360656,835,148,189,787,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg_abslight14,linear,0.001,14,15,210,210,1959,5,0.8166788814514423,0.817972062858568,0.7912688406104567,0.8126595201633486,0.3051881993896236,0.06864754098360656,683,300,67,909,0.0,0.0,0,"210 MACs/window, simple HLS update"
lr12_shape,linear,0.0003,12,15,180,180,1959,5,0.8153238546603475,0.8177440237882031,0.8104101168158451,0.8233792751403778,0.1017293997965412,0.2520491803278688,883,100,246,730,0.0,0.0,0,"180 MACs/window, simple HLS update"
lr20_rich,linear,0.01,20,15,300,300,1959,5,0.8147326590772138,0.8168350303543646,0.8111252900442565,0.8192955589586524,0.10681586978636826,0.2551229508196721,878,105,249,727,0.0,0.0,0,"300 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.001,8,15,120,7380,1959,5,0.8126659174932005,0.8157584732912099,0.8006211430478025,0.8315467075038285,0.09766022380467955,0.23975409836065573,887,96,234,742,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg_diff8,linear,0.1,8,15,120,120,1959,5,0.8133320304229574,0.8156071500993267,0.8075513888148652,0.8249106687085248,0.14852492370295015,0.20184426229508196,837,146,197,779,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg_diff8,linear,1.0,8,15,120,120,1959,5,0.8131186788488787,0.8154231890117739,0.8073798972909106,0.8249106687085248,0.14547304170905392,0.20491803278688525,840,143,200,776,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr12_shape,linear,0.01,12,15,180,180,1959,5,0.8129085845507401,0.8146206332514433,0.808858810169659,0.8157223072996427,0.09766022380467955,0.27151639344262296,887,96,265,711,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_diff8,linear,0.3,8,15,120,120,1959,5,0.8121708115503005,0.8144753217131957,0.8063146738518085,0.8238897396630934,0.14750762970498474,0.20491803278688525,838,145,200,776,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.0003,8,15,120,120,1959,5,0.8111268546114884,0.812547958639823,0.8094909893737672,0.8264420622766717,0.14954221770091555,0.19774590163934427,836,147,193,783,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.001,8,15,120,120,1959,5,0.8106056904610673,0.8121526026871194,0.8081056732764548,0.8254211332312404,0.13021363173957273,0.2192622950819672,855,128,214,762,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.003,8,15,120,120,1959,5,0.8089233074379896,0.8105638886246951,0.8058448315050581,0.8233792751403778,0.12614445574771108,0.22745901639344263,859,124,222,754,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.01,8,15,120,120,1959,5,0.8086154948616471,0.8103524937595445,0.8050589188301057,0.8223583460949464,0.12309257375381485,0.23258196721311475,862,121,227,749,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.3,8,15,120,120,1959,5,0.8083549127864368,0.810124050921398,0.8047414070588621,0.8218478815722308,0.12309257375381485,0.2336065573770492,862,121,228,748,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,0.03,8,15,120,120,1959,5,0.808141561212358,0.8098785601102556,0.8044803742065316,0.8218478815722308,0.12207527975584945,0.2346311475409836,863,120,229,747,0.0,0.0,0,"120 MACs/window, simple HLS update"
avg12_contrast,linear,0.1,12,15,180,180,1959,5,0.808833732349636,0.8097008574233154,0.7985576910870928,0.8085758039816233,0.1953204476093591,0.1875,791,192,183,793,0.0,0.0,0,"180 MACs/window, simple HLS update"
lr8_shape,linear,0.1,8,15,120,120,1959,5,0.8078809791371476,0.8096501172721091,0.8040231373060184,0.821337417049515,0.12105798575788403,0.23668032786885246,864,119,231,745,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,linear,1.0,8,15,120,120,1959,5,0.8076203970619371,0.8094216744339626,0.8038574609249128,0.8208269525267994,0.12309257375381485,0.23565573770491804,862,121,230,746,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.0003,8,15,120,7380,1959,5,0.803423397013078,0.8063791496112165,0.7917195556682782,0.8238897396630934,0.11393692777212615,0.2387295081967213,871,112,233,743,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
lr20_rich,linear,0.03,20,15,300,300,1959,5,0.8044478102962493,0.8061727569802478,0.8015186931937276,0.8095967330270546,0.12105798575788403,0.26024590163934425,864,119,254,722,0.0,0.0,0,"300 MACs/window, simple HLS update"
avg_abslight14,linear,0.003,14,15,210,210,1959,5,0.8041432549958468,0.8054658268894986,0.7782354315365481,0.7993874425727412,0.3224821973550356,0.0778688524590164,666,317,76,900,0.0,0.0,0,"210 MACs/window, simple HLS update"
lr20_rich,linear,1.0,20,15,300,300,1959,5,0.8035944039999349,0.8049446748413193,0.801744853569344,0.8095967330270546,0.13224821973550355,0.2489754098360656,853,130,243,733,0.0,0.0,0,"300 MACs/window, simple HLS update"
lr20_rich,linear,0.3,20,15,300,300,1959,5,0.8025993062002248,0.8038907960685581,0.8005966194865716,0.8080653394589076,0.13123092573753814,0.2530737704918033,854,129,247,729,0.0,0.0,0,"300 MACs/window, simple HLS update"
lr12_shape,linear,0.03,12,15,180,180,1959,5,0.8018175599745933,0.8032054675541183,0.7979211606011637,0.8065339458907606,0.11393692777212615,0.2735655737704918,871,112,267,709,0.0,0.0,0,"180 MACs/window, simple HLS update"
lr20_rich,linear,0.1,20,15,300,300,1959,5,0.8011775052523575,0.8025920545678698,0.7988257504037403,0.8065339458907606,0.12817904374364192,0.25922131147540983,857,126,253,723,0.0,0.0,0,"300 MACs/window, simple HLS update"
avg12_contrast,linear,0.3,12,15,180,180,1959,5,0.8015113760362208,0.8019156538077095,0.7904753061531988,0.8009188361408882,0.21464903357070192,0.1834016393442623,772,211,179,797,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg12_contrast,linear,0.03,12,15,180,180,1959,5,0.7984283643588868,0.8002065945148595,0.7883197382759279,0.8044920877998979,0.18209562563580875,0.20901639344262296,804,179,204,772,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg12_contrast,linear,1.0,12,15,180,180,1959,5,0.7980277194182505,0.798397109202137,0.7869346443806546,0.7978560490045942,0.21973550356052898,0.18442622950819673,767,216,180,796,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_abslight14,linear,0.01,14,15,210,210,1959,5,0.7958258008827218,0.7971189822898478,0.7761779537451285,0.7901990811638591,0.32044760935910477,0.09836065573770492,668,315,96,880,0.0,0.0,0,"210 MACs/window, simple HLS update"
lr12_shape,linear,0.1,12,15,180,180,1959,5,0.7948030162375206,0.7962469560395584,0.7907666271225336,0.7998979070954568,0.12309257375381485,0.2776639344262295,862,121,271,705,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_abslight14,linear,1.0,14,15,210,210,1959,5,0.7934561326362763,0.7947493140434023,0.7702211321448258,0.7876467585502808,0.3316378433367243,0.09221311475409837,657,326,90,886,0.0,0.0,0,"210 MACs/window, simple HLS update"
lr12_shape,linear,0.3,12,15,180,180,1959,5,0.7917460627677073,0.7931578633326813,0.7878091232154272,0.7968351199591628,0.13123092573753814,0.27561475409836067,854,129,269,707,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_abslight14,linear,0.03,14,15,210,210,1959,5,0.7915603980391199,0.7928535794462459,0.7748644460336099,0.7856049004594181,0.31739572736520855,0.11065573770491803,671,312,108,868,0.0,0.0,0,"210 MACs/window, simple HLS update"
avg_diff8,poly2_linear,0.003,8,15,120,7380,1959,5,0.790272145404798,0.7928348266759503,0.7812320981216727,0.8085758039816233,0.16276703967446593,0.22028688524590165,823,160,215,761,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg12_contrast,linear,0.001,12,15,180,180,1959,5,0.789799840393479,0.7928207172351418,0.7730175134558774,0.8034711587544666,0.1525940996948118,0.24077868852459017,833,150,235,741,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_abslight14,linear,0.3,14,15,210,210,1959,5,0.7910864643898308,0.7923796457969569,0.7731008947890425,0.7850944359367024,0.3214649033570702,0.10758196721311475,667,316,105,871,0.0,0.0,0,"210 MACs/window, simple HLS update"
avg12_contrast,linear,0.01,12,15,180,180,1959,5,0.7887575120926369,0.7915377675410182,0.7747731292236807,0.8014293006636038,0.17192268565615462,0.22540983606557377,814,169,220,756,0.0,0.0,0,"180 MACs/window, simple HLS update"
avg_abslight14,linear,0.1,14,15,210,210,1959,5,0.789925245517174,0.7912478174108257,0.7737781051644328,0.7840735068912711,0.31637843336724314,0.11475409836065574,672,311,112,864,0.0,0.0,0,"210 MACs/window, simple HLS update"
avg_diff8,poly2_linear,0.0003,8,15,120,7380,1959,5,0.7878780475888015,0.7903360648971469,0.7780388930724917,0.8080653394589076,0.17395727365208546,0.21004098360655737,812,171,205,771,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg_diff8,poly2_linear,0.01,8,15,120,7380,1959,5,0.7877363560854057,0.7902641493689557,0.7788892190759562,0.8065339458907606,0.16378433367243134,0.22336065573770492,822,161,218,758,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg_diff8,poly2_linear,0.001,8,15,120,7380,1959,5,0.7877835865865377,0.7902471013959598,0.7789843286386177,0.8070444104134763,0.1688708036622584,0.21721311475409835,817,166,212,764,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
avg8_runs,linear,0.1,8,15,120,120,1959,5,0.7867445155616358,0.7892069731593124,0.7812349329879552,0.7958141909137315,0.15666327568667346,0.2520491803278688,829,154,246,730,0.0,0.0,0,"120 MACs/window, simple HLS update"
lr12_shape,linear,1.0,12,15,180,180,1959,5,0.7874806599241054,0.7888924604890794,0.7838326879167459,0.7922409392547218,0.1515768056968464,0.26434426229508196,834,149,258,718,0.0,0.0,0,"180 MACs/window, simple HLS update"
