feature_set,model,C,frame_feature_count,window_size,input_dim,hw_dim_or_terms,samples,sessions,mean_accuracy,mean_balanced_accuracy,mean_macro_f1,micro_accuracy,false_closed_rate,missed_closed_rate,cm00,cm01,cm10,cm11,threshold_mean,support_vectors_mean,support_vectors_max,hw_note
lr20_rich,linear,0.001,20,15,300,300,1959,5,0.8335955440465138,0.8358880019955102,0.8299307622812465,0.8386932108218479,0.08850457782299084,0.2346311475409836,896,87,229,747,-0.018446778244137135,0.0,0,"300 MACs/window, simple HLS update"
avg_diff8,linear,0.0003,8,15,120,120,1959,5,0.8312470480936792,0.8334046058239466,0.8190034696846871,0.843287391526289,0.17293997965412003,0.1403688524590164,813,170,137,839,0.05642946475399811,0.0,0,"120 MACs/window, simple HLS update"
avg_diff8,linear,0.003,8,15,120,120,1959,5,0.8281900946238661,0.8302539833934798,0.8202067699873667,0.8402246043899949,0.1607324516785351,0.15881147540983606,825,158,155,821,-0.06599893200935446,0.0,0,"120 MACs/window, simple HLS update"
lr12_shape,linear,0.001,12,15,180,180,1959,5,0.827766648751649,0.8298212340579021,0.8240595895850908,0.8310362429811128,0.08240081383519837,0.25614754098360654,902,81,250,726,-0.08520372148804586,0.0,0,"180 MACs/window, simple HLS update"
avg_diff8,linear,0.001,8,15,120,120,1959,5,0.8275744694711811,0.829523545045231,0.8135228810101747,0.8381827462991323,0.18921668362156663,0.13422131147540983,797,186,131,845,-0.027660486359779645,0.0,0,"120 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.01,8,15,120,7380,1959,5,0.8265077116007882,0.8287883287782346,0.8220149279104436,0.8381827462991323,0.09562563580874874,0.22848360655737704,889,94,223,753,0.0,0.0,0,7380 expanded linear terms; HLS/PS input path must change
lr12_shape,linear,0.003,12,15,180,180,1959,5,0.8261559257992541,0.828036916936892,0.8224371560642435,0.8274629913221031,0.08341810783316378,0.26229508196721313,901,82,256,720,-0.05261054553486226,0.0,0,"180 MACs/window, simple HLS update"
lr20_rich,linear,0.003,20,15,300,300,1959,5,0.8248041562840995,0.8270672237465702,0.8210807894305369,0.8289943848902501,0.09867751780264497,0.24385245901639344,886,97,238,738,-0.04385771041729612,0.0,0,"300 MACs/window, simple HLS update"
lr8_shape,poly2_linear,0.003,8,15,120,7380,1959,5,0.8243741958600023,0.8265795395611673,0.8197341344458324,0.8381827462991323,0.0935910478128179,0.2305327868852459,891,92,225,751,0.03430268515256734,0.0,0,7380 expanded linear terms; HLS/PS input path must change
lr8_shape,linear,0.0003,8,15,120,120,1959,5,0.8239474927118451,0.8259039687681135,0.8204355733294009,0.8381827462991323,0.10071210579857579,0.22336065573770492,884,99,218,758,0.07284370863091212,0.0,0,"120 MACs/window, simple HLS update"
lr20_rich,linear,0.0003,20,15,300,300,1959,5,0.8231201446230518,0.8251417449228444,0.8189605687895153,0.8315467075038285,0.12309257375381485,0.21413934426229508,862,121,209,767,-0.044513072429888355,0.0,0,"300 MACs/window, simple HLS update"
avg_diff8,linear,0.01,8,15,120,120,1959,5,0.8199671015130047,0.8221806914657848,0.8106442490052206,0.8320571720265442,0.17395727365208546,0.16188524590163936,812,171,158,818,-0.09704767171860819,0.0,0,"120 MACs/window, simple HLS update"
avg12_contrast,linear,0.03,12,15,180,180,1959,5,0.8196869757821533,0.8203107307120131,0.8118319326929828,0.819806023481368,0.19328585961342828,0.16700819672131148,793,190,163,813,-0.12094574268239948,0.0,0,"180 MACs/window, simple HLS update"
lr12_shape,linear,0.0003,12,15,180,180,1959,5,0.8169590071822934,0.8192882561000339,0.8108765244819018,0.8249106687085248,0.13021363173957273,0.22028688524590165,855,128,215,761,-0.04305043631080765,0.0,0,"180 MACs/window, simple HLS update"
