feature_set,model,C,holdout_session,samples,accuracy,balanced_accuracy,macro_f1,threshold,cm00,cm01,cm10,cm11
avg_diff8,linear,0.0003,glasses_highlight_v1,422,0.6018957345971564,0.6018957345971564,0.5587202788497448,0.09166788664666373,61,150,18,193
avg_diff8,linear,0.0003,glasses_highlight_v2,422,1.0,1.0,1.0,0.038648422078193446,211,0,0,211
avg_diff8,linear,0.0003,glasses_test_v2,422,0.9289099526066351,0.9289099526066351,0.928679270793429,0.0820859580609384,208,3,27,184
avg_diff8,linear,0.0003,noglasses_highlight_v1,291,0.6254295532646048,0.6362173419159409,0.6076177987802616,0.07269923116459241,122,17,92,60
avg_diff8,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,-0.002954174180397422,211,0,0,191
avg_diff8,linear,0.001,glasses_highlight_v1,422,0.5687203791469194,0.5687203791469194,0.5118844853445865,-0.10144847135300929,48,163,19,192
avg_diff8,linear,0.001,glasses_highlight_v2,422,1.0,1.0,1.0,0.016872058259936512,211,0,0,211
avg_diff8,linear,0.001,glasses_test_v2,422,0.9265402843601895,0.9265402843601895,0.9263579200981744,0.0,206,5,26,185
avg_diff8,linear,0.001,noglasses_highlight_v1,291,0.6426116838487973,0.6523570617190458,0.6293719996081121,0.0,121,18,86,66
avg_diff8,linear,0.001,noglasses_test_v2,402,1.0,1.0,1.0,-0.053726018705825454,211,0,0,191
avg_diff8,linear,0.003,glasses_highlight_v1,422,0.6066350710900474,0.6066350710900474,0.583232193427096,-0.05115683682548294,78,133,33,178
avg_diff8,linear,0.003,glasses_highlight_v2,422,1.0,1.0,1.0,-0.0914224398206805,211,0,0,211
avg_diff8,linear,0.003,glasses_test_v2,422,0.9123222748815166,0.9123222748815166,0.9120134791698364,-0.0016382649256817686,205,6,31,180
avg_diff8,linear,0.003,noglasses_highlight_v1,291,0.6219931271477663,0.6323125709958349,0.6057881773399014,-0.043789081427373,120,19,91,61
avg_diff8,linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,-0.14198803704755408,211,0,0,191
avg_diff8,linear,0.01,glasses_highlight_v1,422,0.5947867298578199,0.59478672985782,0.5680448224878636,-0.2460811909318381,73,138,33,178
avg_diff8,linear,0.01,glasses_highlight_v2,422,1.0,1.0,1.0,-0.07218565495477458,211,0,0,211
avg_diff8,linear,0.01,glasses_test_v2,422,0.8933649289099526,0.8933649289099526,0.8932300305298018,-0.052464088937361465,196,15,30,181
avg_diff8,linear,0.01,noglasses_highlight_v1,291,0.6116838487972509,0.622751798561151,0.5919463920084382,0.018065579039712093,121,18,95,57
avg_diff8,linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,-0.13257300280877887,211,0,0,191
avg_diff8,linear,0.03,glasses_highlight_v1,422,0.580568720379147,0.580568720379147,0.5697226302600882,-0.0438689653350123,89,122,55,156
avg_diff8,linear,0.03,glasses_highlight_v2,422,1.0,1.0,1.0,-0.013706292894891947,211,0,0,211
avg_diff8,linear,0.03,glasses_test_v2,422,0.8862559241706162,0.886255924170616,0.8861638754636394,-0.08973306343339328,193,18,30,181
avg_diff8,linear,0.03,noglasses_highlight_v1,291,0.5670103092783505,0.5812192351382052,0.5266215657921917,0.17390850172942224,125,14,112,40
avg_diff8,linear,0.03,noglasses_test_v2,402,1.0,1.0,1.0,-0.06436492904456066,211,0,0,191
avg_diff8,poly2_linear,0.003,glasses_highlight_v1,422,0.5592417061611374,0.5592417061611374,0.5529661016949152,0.0,93,118,68,143
avg_diff8,poly2_linear,0.003,glasses_highlight_v2,422,1.0,1.0,1.0,-0.10677176484971691,211,0,0,211
avg_diff8,poly2_linear,0.003,glasses_test_v2,422,0.9075829383886256,0.9075829383886256,0.9074660264591614,0.0,199,12,27,184
avg_diff8,poly2_linear,0.003,noglasses_highlight_v1,291,0.4845360824742268,0.49734948882998864,0.4457283624542868,0.0,109,30,120,32
avg_diff8,poly2_linear,0.003,noglasses_test_v2,402,1.0,1.0,1.0,-0.06340084702717975,211,0,0,191
avg_diff8,poly2_linear,0.01,glasses_highlight_v1,422,0.5521327014218009,0.5521327014218009,0.5465074626865671,0.0,93,118,71,140
avg_diff8,poly2_linear,0.01,glasses_highlight_v2,422,0.9976303317535545,0.9976303317535544,0.9976303184470163,0.0,210,1,0,211
avg_diff8,poly2_linear,0.01,glasses_test_v2,422,0.9146919431279621,0.9146919431279621,0.914569134219583,0.0,201,10,26,185
avg_diff8,poly2_linear,0.01,noglasses_highlight_v1,291,0.4742268041237113,0.4868657705414616,0.43573918002661427,0.0,107,32,121,31
avg_diff8,poly2_linear,0.01,noglasses_test_v2,402,1.0,1.0,1.0,0.0,211,0,0,191
lr20_rich,linear,0.0003,glasses_highlight_v1,422,0.6445497630331753,0.6445497630331753,0.6416440217391304,-0.07543850479156071,117,94,56,155
lr20_rich,linear,0.0003,glasses_highlight_v2,422,0.966824644549763,0.966824644549763,0.9667880913833423,0.03962828203249716,197,14,0,211
lr20_rich,linear,0.0003,glasses_test_v2,422,0.8341232227488151,0.8341232227488151,0.8294299704360679,0.12316098299782441,211,0,70,141
lr20_rich,linear,0.0003,noglasses_highlight_v1,291,0.6701030927835051,0.6802110942824688,0.6569407603890363,-0.1384567774511845,126,13,83,69
lr20_rich,linear,0.0003,noglasses_test_v2,402,1.0,1.0,1.0,-0.17145934493701812,211,0,0,191
