video_id,source_path,frame_id,timestamp_sec,det_ok,dlib_update_ok,roi_age,frame_w,frame_h,eye_frame_w,eye_frame_h,eye_frame_orientation,dlib_decimate,eye_roi_shrink,fixed_thresh,adapt_offset,fixed_scale,label_name,label,left_pre_x,left_pre_y,left_pre_w,left_pre_h,right_pre_x,right_pre_y,right_pre_w,right_pre_h,left_x,left_y,left_w,left_h,right_x,right_y,right_w,right_h,eye_valid,feature0_q,feature1_q,eye_debug,low_pct,high_pct,left_t_low,left_t_high,right_t_low,right_t_high,left_q_dark,left_q_ref,right_q_dark,right_q_ref,left_contrast,right_contrast,left_center_w,left_center_h,right_center_w,right_center_h,robust_f0,robust_f1,svm_ready,svm_pred,svm_score_q
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,0,0.0,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,102,167,68,17,198,167,69,17,102,167,68,17,198,167,69,17,1,3584,3365,622996778,10.0,60.0,42.0,45.0,34.0,37.0,39.0,51.0,31.0,43.0,12.0,12.0,54.0,12.0,55.0,12.0,0.875,0.821533203125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,1,0.06666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,105,166,68,17,202,166,69,18,105,166,68,17,202,166,69,18,1,3112,3216,656617259,10.0,60.0,43.0,47.0,35.0,39.0,39.0,55.0,31.0,47.0,16.0,16.0,54.0,12.0,55.0,13.0,0.759765625,0.78515625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,2,0.13333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,106,165,68,18,205,165,69,18,106,165,68,18,205,165,69,18,1,3309,3151,656617259,10.0,60.0,43.0,47.0,35.0,39.0,39.0,55.0,31.0,47.0,16.0,16.0,54.0,13.0,55.0,13.0,0.807861328125,0.769287109375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,3,0.2,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,109,167,68,11,209,167,67,14,109,167,68,11,209,167,67,14,1,1792,1774,589507882,10.0,60.0,42.0,45.0,35.0,35.0,39.0,51.0,35.0,43.0,12.0,8.0,54.0,8.0,53.0,9.0,0.4375,0.43310546875,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,4,0.26666666666666666,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,109,165,69,17,208,167,69,17,109,165,69,17,208,167,69,17,1,3755,3426,656617774,10.0,60.0,46.0,49.0,35.0,39.0,43.0,55.0,31.0,47.0,12.0,16.0,55.0,12.0,55.0,12.0,0.916748046875,0.83642578125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,5,0.3333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,116,163,73,22,219,162,72,28,116,163,73,22,219,162,72,28,1,2390,3009,723989295,10.0,60.0,47.0,51.0,39.0,43.0,43.0,59.0,35.0,51.0,16.0,16.0,59.0,15.0,58.0,20.0,0.58349609375,0.734619140625,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,6,0.4,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,116,163,72,25,219,164,72,28,116,163,72,25,219,164,72,28,1,2536,2877,723989295,10.0,60.0,47.0,51.0,39.0,43.0,43.0,59.0,35.0,51.0,16.0,16.0,58.0,17.0,58.0,20.0,0.619140625,0.702392578125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,7,0.4666666666666667,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,117,163,69,25,213,163,72,28,117,163,69,25,213,163,72,28,1,3271,3157,791361331,10.0,60.0,51.0,55.0,43.0,47.0,47.0,63.0,39.0,55.0,16.0,16.0,55.0,17.0,58.0,20.0,0.798583984375,0.770751953125,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,8,0.5333333333333333,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,110,166,68,14,208,167,69,14,110,166,68,14,208,167,69,14,1,3869,3414,690369327,10.0,60.0,47.0,51.0,38.0,41.0,43.0,59.0,35.0,47.0,16.0,12.0,54.0,9.0,55.0,9.0,0.944580078125,0.83349609375,0,-1,0
closed_20250505_062113,C:\Users\LC\Desktop\eyeblink8\raw_robust_dataset_board\glasses_highlight_v1\closed\closed_20250505_062113.avi,9,0.6,1,1,0,480,640,480,640,upright,1,0,10,60,4096,closed,1,107,169,68,11,208,168,68,14,107,169,68,11,208,168,68,14,1,3641,3408,690369327,10.0,60.0,47.0,51.0,38.0,41.0,43.0,59.0,35.0,47.0,16.0,12.0,54.0,8.0,54.0,9.0,0.888916015625,0.83203125,0,-1,0
