video_id,n,n_non_closed,n_closed,accuracy,macro_f1,nonclosed_precision,nonclosed_recall,nonclosed_f1,closed_precision,closed_recall,closed_f1,false_closed_rate,missed_closed_rate,tn,fp,fn,tp,split
1,5050,5050,0,0.9958415841584158,0.4989582299831333,1.0,0.9958415841584158,0.9979164599662665,0.0,0.0,0.0,0.004158415841584159,0.0,5029,21,0,0,train
11,514,0,514,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,514,train
2,3190,3190,0,0.9893416927899686,0.4973211471793256,1.0,0.9893416927899686,0.9946422943586511,0.0,0.0,0.0,0.010658307210031349,0.0,3156,34,0,0,train
22,419,0,419,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,419,train
3,2781,2781,0,0.9428263214670982,0.4852859522487507,1.0,0.9428263214670982,0.9705719044975014,0.0,0.0,0.0,0.05717367853290183,0.0,2622,159,0,0,train
33,220,0,220,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,220,train
4,1598,1598,0,0.548811013767209,0.35434343434343435,1.0,0.548811013767209,0.7086868686868687,0.0,0.0,0.0,0.45118898623279097,0.0,877,721,0,0,train
8,3406,3406,0,0.9888432178508514,0.497195157956894,1.0,0.9888432178508514,0.994390315913788,0.0,0.0,0.0,0.011156782149148562,0.0,3368,38,0,0,train
9,1461,1461,0,0.9431895961670089,0.485382176822825,1.0,0.9431895961670089,0.97076435364565,0.0,0.0,0.0,0.0568104038329911,0.0,1378,83,0,0,train
WIN_20260414_20_31_10_Pro,364,0,364,0.9917582417582418,0.4979310344827586,0.0,0.0,0.0,1.0,0.9917582417582418,0.9958620689655172,0.0,0.008241758241758242,0,0,3,361,train
WIN_20260414_20_41_42_Pro,212,0,212,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,212,train
test1,130,0,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,130,0,train
test2,433,0,433,0.21016166281755197,0.1736641221374046,0.0,0.0,0.0,1.0,0.21016166281755197,0.3473282442748092,0.0,0.789838337182448,0,0,342,91,train
A,2656,2656,0,0.9262048192771084,0.48084440969507425,1.0,0.9262048192771084,0.9616888193901485,0.0,0.0,0.0,0.07379518072289157,0.0,2460,196,0,0,val
WIN_20260414_20_42_23_Pro,181,0,181,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,181,val
test3,189,0,189,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,189,val
B,1408,1408,0,0.9616477272727273,0.49022447501810285,1.0,0.9616477272727273,0.9804489500362057,0.0,0.0,0.0,0.03835227272727273,0.0,1354,54,0,0,test
WIN_20260414_21_29_13_Pro,216,0,216,0.2361111111111111,0.19101123595505617,0.0,0.0,0.0,1.0,0.2361111111111111,0.38202247191011235,0.0,0.7638888888888888,0,0,165,51,test
test4,151,0,151,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,151,test
