video_id,label_name,samples,accuracy,cm00,cm01,cm10,cm11
closed_20250505_062113,closed,211,0.8341232227488151,0,0,35,176
closed_20250505_062219,closed,211,0.8672985781990521,0,0,28,183
closed_20250505_062549,closed,152,0.39473684210526316,0,0,92,60
closed_20250505_063339,closed,211,0.8483412322274881,0,0,32,179
closed_20250505_063636,closed,191,1.0,0,0,0,191
open_20250505_061841,non_closed,211,0.43601895734597157,92,119,0,0
open_20250505_062322,non_closed,139,0.3381294964028777,47,92,0,0
open_20250505_062426,non_closed,211,1.0,211,0,0,0
open_20250505_063107,non_closed,211,0.7393364928909952,156,55,0,0
open_20250505_063852,non_closed,211,0.985781990521327,208,3,0,0
