video_id,start_frame,end_frame,label,notes
11,113,225,closed,stable closed 1
11,332,447,closed,stable closed 2
11,561,665,closed,stable closed 3
11,769,868,closed,stable closed 4
11,972,1071,closed,stable closed 5
22,122,211,closed,stable closed 1
22,313,448,closed,stable closed 2
22,531,554,closed,stable closed 3
22,586,702,closed,stable closed 4
22,824,895,closed,stable closed 5
33,88,189,closed,stable closed 1
33,445,570,closed,stable closed 2
test1,246,384,closed,stable closed 1
test2,0,92,closed,stable closed 1
test2,120,326,closed,stable closed 2
test2,381,530,closed,stable closed 3
test3,96,191,closed,stable closed 1
test3,400,500,closed,stable closed 2
test4,93,199,closed,stable closed 1
test4,417,511,closed,stable closed 2
WIN_20260414_20_31_10_Pro,108,298,closed,stable closed 1
WIN_20260414_20_31_10_Pro,423,529,closed,stable closed 2
WIN_20260414_20_31_10_Pro,625,702,closed,stable closed 3
WIN_20260414_20_41_42_Pro,155,239,closed,stable closed 1
WIN_20260414_20_41_42_Pro,351,485,closed,stable closed 2
WIN_20260414_20_42_23_Pro,68,162,closed,stable closed 1
WIN_20260414_20_42_23_Pro,420,513,closed,stable closed 2
WIN_20260414_21_29_13_Pro,124,263,closed,stable closed 1
WIN_20260414_21_29_13_Pro,445,528,closed,stable closed 2
