feature,n_frames,open_mean,closed_mean,gap_open_minus_closed,separation_rough,acc_if_open_high,acc_if_closed_high,best_acc_allow_flip,best_direction,threshold_if_open_high
col_run_max_fixed,5101,0.5796618498204932,0.3929312580170995,0.1867305918033937,0.8835944955393424,0.7618114095275437,0.23818859047245639,0.7618114095275437,open_high,0.48629655391879634
col_run_topk_fixed,5101,0.4918160494835823,0.31036889668195305,0.18144715280162926,0.9354223287724756,0.7547539698098412,0.24524603019015878,0.7547539698098412,open_high,0.4010924730827677
h_edge_density,5101,0.0692151821420001,0.021330668558291653,0.04788451358370845,0.8825238728568502,0.7098608116055676,0.2901391883944325,0.7098608116055676,open_high,0.045272925350145876
row_sigma_fixed,5101,0.15194813916460187,0.12020436472300101,0.031743774441600855,0.536550937187422,0.685159772593609,0.3148402274063909,0.685159772593609,open_high,0.13607625194380144
center_dark_ratio_fixed,5101,0.22397013891716966,0.1591476894432125,0.06482244947395716,0.4815876611547262,0.6692805332287787,0.3307194667712213,0.6692805332287787,open_high,0.19155891418019108
col_run_mean_fixed,5101,0.2195184291628277,0.15824467325905112,0.061273755903776594,0.4640791100564283,0.664575573416977,0.33542442658302296,0.664575573416977,open_high,0.1888815512109394
largest_blob_h_fixed,5101,0.5879114093419345,0.48483474452635117,0.10307666481558336,0.4660305198006001,0.649872574005097,0.350127425994903,0.649872574005097,open_high,0.5363730769341428
col_run_topk_adapt,5101,0.4132965833704346,0.28766575783267173,0.1256308255377629,0.6198790298571314,0.6490884140364634,0.35091158596353655,0.6490884140364634,open_high,0.35048117060155315
largest_blob_area_fixed,5101,0.20619570145436067,0.15069303143557206,0.055502670018788614,0.4054573616466242,0.642030974318761,0.35796902568123895,0.642030974318761,open_high,0.17844436644496636
max_active_row_run_fixed,5101,0.4427302289856994,0.38622184036819474,0.05650838861750468,0.29411832770492863,0.6414428543422859,0.3585571456577142,0.6414428543422859,open_high,0.41447603467694705
row_sigma_adapt,5101,0.13221148043528003,0.1035262430306114,0.02868523740466862,0.3989246286143121,0.6386982944520683,0.3613017055479318,0.6386982944520683,open_high,0.11786886173294572
active_row_frac_fixed,5101,0.45566900049257814,0.40023378045580255,0.05543522003677559,0.28591015324233565,0.6218388551264458,0.3781611448735542,0.6218388551264458,open_high,0.42795139047419034
vertical_contrast,5101,0.04862102645631667,0.030271345910666405,0.018349680545650265,0.56201410067294,0.5696922172123113,0.43030778278768866,0.5696922172123113,open_high,0.039446186183491536
center_dark_ratio_adapt,5101,0.1763092705209819,0.14590977637119304,0.030399494149788847,0.32454540643315893,0.552440697902372,0.4475593020976279,0.552440697902372,open_high,0.16110952344608748
dark_ratio_fixed,5101,0.13892152422298687,0.10517742316320423,0.033744101059782636,0.38186005083325586,0.5451872181925113,0.45481278180748874,0.5451872181925113,open_high,0.12204947369309554
v_edge_density,5101,0.1578536164510638,0.16336986024346847,-0.005516243792404674,-0.0445516939881276,0.5006861399725544,0.4993138600274456,0.5006861399725544,open_high,0.16061173834726614
t_adapt,5101,71.43581327498177,74.5841458245019,-3.148332549520134,-0.17132386722509,0.48657126053714955,0.5134287394628504,0.5134287394628504,closed_high,73.00997954974184
